2022-07-13 18:03:01,509 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:03:12,235 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:03:26,578 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:03:37,410 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:03:48,022 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:04:05,285 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:04:18,638 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:04:31,593 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:04:46,617 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:04:57,070 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:05:08,199 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:05:22,017 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:05:32,355 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:05:42,440 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:05:56,258 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:06:10,051 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:06:23,394 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:06:41,332 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:06:51,047 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:00,694 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:13,903 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:23,388 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:33,026 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:46,048 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:07:55,978 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:05,534 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:18,665 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:28,114 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:37,574 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:50,528 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:08:59,920 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:09:09,482 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:09:22,345 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:09:31,825 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:09:41,352 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:09:54,229 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:03,645 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:13,096 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:26,050 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:35,472 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:45,030 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:10:57,872 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:11:07,243 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:11:16,829 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:11:33,726 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:11:47,034 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:02,211 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:16,884 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:27,116 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:36,683 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:49,764 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:12:59,220 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:13:08,740 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:13:21,659 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:13:31,038 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:13:41,007 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:13:53,916 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:14:03,365 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:14:12,809 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:14:25,679 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:14:35,054 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:14:44,546 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
