2022-07-02 10:25:04,156 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:10,463 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:13,905 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:15,448 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:21,247 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:22,663 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:24,079 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:29,625 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:31,000 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:32,421 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:37,638 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:38,995 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:40,303 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:45,441 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:46,911 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:48,511 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:54,140 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:55,590 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:56,965 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:02,534 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:03,917 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:05,333 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:10,946 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:12,319 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:13,715 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:19,263 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:20,763 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:22,147 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:27,388 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:28,772 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:30,171 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:35,721 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:37,104 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:38,553 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:44,095 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:45,462 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:46,866 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:51,858 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:53,194 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:54,469 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:26:59,596 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:01,009 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:02,429 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:08,352 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:09,767 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:11,192 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:17,007 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:18,423 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:19,909 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:25,554 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:27,078 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:28,613 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:34,443 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:35,859 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:37,350 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:42,842 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:44,292 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:45,892 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:51,542 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:52,955 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:54,441 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:27:59,558 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:00,881 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:02,131 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:07,280 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:08,530 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:09,799 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:15,296 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:16,763 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:18,273 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:23,277 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:24,540 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:26,202 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:31,635 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
